# key Si N C H F r(Si) r(N) r(C) r(H) r(F)
0.000000000000000000e+00 nan nan nan nan nan nan nan nan nan nan
1.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
2.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
3.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
4.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
5.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
6.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
7.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
8.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
9.000000000000000000e+01 nan nan nan nan nan nan nan nan nan nan
1.000000000000000000e+02 nan nan nan nan nan nan nan nan nan nan
1.100000000000000000e+02 3.000000000000000000e+01 3.444444444444444287e+01 7.777777777777777679e+00 0.000000000000000000e+00 2.222222222222222321e+00 4.029850746268656692e-01 4.626865671641791078e-01 1.044776119402985037e-01 0.000000000000000000e+00 2.985074626865671585e-02
1.200000000000000000e+02 3.274853801169580692e+01 3.918128654970748670e+01 8.771929824561377487e+00 0.000000000000000000e+00 5.263157894736826492e+00 3.809523809523809312e-01 4.557823129251700744e-01 1.020408163265306145e-01 0.000000000000000000e+00 6.122448979591836593e-02
1.300000000000000000e+02 3.450292397660820853e+01 4.210526315789476826e+01 7.602339181286554393e+00 0.000000000000000000e+00 4.678362573099418498e+00 3.881578947368420907e-01 4.736842105263157632e-01 8.552631578947368640e-02 0.000000000000000000e+00 5.263157894736841813e-02
1.400000000000000000e+02 3.333333333333329307e+01 4.393939393939388793e+01 7.070707070707062059e+00 0.000000000000000000e+00 4.040404040404035335e+00 3.771428571428571686e-01 4.971428571428571641e-01 8.000000000000000167e-02 0.000000000000000000e+00 4.571428571428571425e-02
1.500000000000000000e+02 3.365079365079365203e+01 4.412698412698412653e+01 6.031746031746031633e+00 0.000000000000000000e+00 5.079365079365079083e+00 3.785714285714285587e-01 4.964285714285714413e-01 6.785714285714285199e-02 0.000000000000000000e+00 5.714285714285714107e-02
1.600000000000000000e+02 3.425925925925928084e+01 4.444444444444447129e+01 6.250000000000003553e+00 0.000000000000000000e+00 4.398148148148150582e+00 3.834196891191709589e-01 4.974093264248704571e-01 6.994818652849740803e-02 0.000000000000000000e+00 4.922279792746114130e-02
1.700000000000000000e+02 3.376906318082787806e+01 4.488017429193899233e+01 6.753812636165576144e+00 0.000000000000000000e+00 4.575163398692809302e+00 3.753026634382566340e-01 4.987893462469733530e-01 7.506053268765133790e-02 0.000000000000000000e+00 5.084745762711864736e-02
1.800000000000000000e+02 3.497267759562841150e+01 4.499089253187612769e+01 6.557377049180326267e+00 0.000000000000000000e+00 4.189435336976319313e+00 3.855421686746988152e-01 4.959839357429718931e-01 7.228915662650602092e-02 0.000000000000000000e+00 4.618473895582329153e-02
1.900000000000000000e+02 3.461231015187848215e+01 4.468425259792164184e+01 5.115907274180653275e+00 0.000000000000000000e+00 4.956035171862508193e+00 3.872987477638640263e-01 5.000000000000000000e-01 5.724508050089445466e-02 0.000000000000000000e+00 5.545617173524150512e-02
2.000000000000000000e+02 3.394216133942160951e+01 4.406392694063926285e+01 5.403348554033484241e+00 0.000000000000000000e+00 5.403348554033484241e+00 3.821765209940017338e-01 4.961439588688946190e-01 6.083976006855184443e-02 0.000000000000000000e+00 6.083976006855184443e-02
2.100000000000000000e+02 3.474876150035385081e+01 4.387827317763622403e+01 5.449398443029015660e+00 0.000000000000000000e+00 6.227883934890303230e+00 3.847962382445140883e-01 4.858934169278996684e-01 6.034482758620689918e-02 0.000000000000000000e+00 6.896551724137930939e-02
2.200000000000000000e+02 3.423050379572118374e+01 4.361628709454796393e+01 5.866114561766735847e+00 0.000000000000000000e+00 6.418219461697722394e+00 3.797856049004594281e-01 4.839203675344563305e-01 6.508422664624809173e-02 0.000000000000000000e+00 7.120980091883613583e-02
2.300000000000000000e+02 2.486338797814207524e+01 2.996357012750455340e+01 4.439890710382513817e+00 0.000000000000000000e+00 4.371584699453551437e+00 3.906976744186046457e-01 4.708407871198568850e-01 6.976744186046511531e-02 0.000000000000000000e+00 6.869409660107334004e-02
2.400000000000000000e+02 3.428184281842818137e+01 4.295392953929539459e+01 6.165311653116531510e+00 0.000000000000000000e+00 6.436314363143631923e+00 3.815987933634992224e-01 4.781297134238310931e-01 6.862745098039216285e-02 0.000000000000000000e+00 7.164404223227752166e-02
2.500000000000000000e+02 3.452883263009845649e+01 4.310829817158931832e+01 6.399437412095640987e+00 0.000000000000000000e+00 6.399437412095640987e+00 3.818040435458787130e-01 4.766718506998444682e-01 7.076205287713840941e-02 0.000000000000000000e+00 7.076205287713840941e-02
2.600000000000000000e+02 3.434343434343434609e+01 4.171122994652407101e+01 6.179441473559121434e+00 0.000000000000000000e+00 7.130124777183601381e+00 3.843085106382978511e-01 4.667553191489361430e-01 6.914893617021276861e-02 0.000000000000000000e+00 7.978723404255319562e-02
2.700000000000000000e+02 3.362118595279217459e+01 4.116292458261370513e+01 6.563039723661486136e+00 0.000000000000000000e+00 7.253886010362695203e+00 3.794671864847303233e-01 4.645873944119557897e-01 7.407407407407406996e-02 0.000000000000000000e+00 8.187134502923976154e-02
2.800000000000000000e+02 3.306878306878306262e+01 4.121693121693121498e+01 6.560846560846560038e+00 0.000000000000000000e+00 7.407407407407406552e+00 3.747002398081534791e-01 4.670263788968824770e-01 7.434052757793764565e-02 0.000000000000000000e+00 8.393285371702638442e-02
2.900000000000000000e+02 3.308751229105210712e+01 4.090462143559488339e+01 6.784660766961651213e+00 0.000000000000000000e+00 7.079646017699113614e+00 3.766088416340235279e-01 4.655847789591494035e-01 7.722439843312814411e-02 0.000000000000000000e+00 8.058198097369893842e-02
3.000000000000000000e+02 3.304721030042917818e+01 4.077253218884118979e+01 7.105388650453026145e+00 0.000000000000000000e+00 7.534573199809249111e+00 3.735849056603773310e-01 4.609164420485175051e-01 8.032345013477089346e-02 0.000000000000000000e+00 8.517520215633422875e-02
3.100000000000000000e+02 3.254956201014292105e+01 4.075610880590133434e+01 7.284462886122637038e+00 0.000000000000000000e+00 7.837713231904102962e+00 3.680917622523461885e-01 4.608967674661105240e-01 8.237747653806047621e-02 0.000000000000000000e+00 8.863399374348279736e-02
3.200000000000000000e+02 3.262786596119929072e+01 4.043209876543209447e+01 7.671957671957670755e+00 0.000000000000000000e+00 7.936507936507934957e+00 3.679761312779711857e-01 4.559920437593237286e-01 8.652411735454997033e-02 0.000000000000000000e+00 8.950770760815514315e-02
