key height(A)
0.000 58.874
10.000 57.584
20.000 57.137
30.000 57.659
40.000 57.579
50.000 57.995
60.000 58.194
70.000 57.643
80.000 58.296
90.000 58.909
100.000 58.960
110.000 59.653
120.000 60.073
130.000 60.762
140.000 59.968
150.000 59.123
160.000 58.774
170.000 57.661
180.000 58.050
190.000 59.112
200.000 58.503
210.000 58.516
220.000 58.266
230.000 58.965
240.000 59.300
250.000 59.578
260.000 58.687
270.000 58.575
280.000 58.014
290.000 58.843
300.000 58.889
310.000 59.693
320.000 59.302
330.000 58.910
340.000 59.292
350.000 59.896
360.000 59.020
370.000 59.140
380.000 59.701
390.000 59.753
400.000 59.499
410.000 58.335
420.000 59.251
430.000 59.796
440.000 59.508
450.000 58.951
460.000 59.029
470.000 58.717
480.000 58.024
490.000 58.076
500.000 58.501
510.000 58.732
520.000 58.772
530.000 59.187
540.000 59.205
550.000 58.242
560.000 57.771
570.000 57.793
580.000 57.978
590.000 58.121
600.000 58.526
610.000 59.914
620.000 59.051
630.000 58.994
640.000 58.871
650.000 58.883
660.000 59.518
670.000 60.088
680.000 60.137
690.000 58.473
700.000 55.798
710.000 54.977
720.000 56.110
730.000 54.874
740.000 54.342
750.000 53.919
760.000 53.863
770.000 53.388
780.000 53.983
790.000 53.811
800.000 54.480
810.000 55.724
820.000 55.853
830.000 56.035
840.000 56.337
850.000 55.708
860.000 55.547
870.000 52.230
880.000 53.957
890.000 53.092
900.000 52.759
910.000 53.044
920.000 53.674
930.000 51.910
940.000 52.587
950.000 54.266
960.000 53.884
970.000 53.251
980.000 52.357
990.000 52.237
1000.000 51.239
1010.000 51.572
1020.000 51.514
1030.000 51.009
1040.000 50.434
1050.000 48.370
1060.000 49.416
1070.000 48.642
1080.000 47.974
1090.000 46.243
1100.000 47.705
1110.000 47.779
1120.000 47.689
1130.000 48.949
1140.000 47.961
1150.000 48.964
1160.000 49.774
1170.000 48.265
1180.000 49.796
1190.000 48.216
1200.000 47.405
1210.000 47.642
1220.000 48.009
1230.000 47.357
1240.000 47.555
1250.000 47.150
1260.000 46.670
1270.000 46.331
1280.000 45.904
1290.000 47.169
1300.000 46.448
1310.000 47.366
1320.000 47.711
1330.000 46.516
1340.000 46.695
1350.000 45.789
1360.000 47.521
1370.000 46.845
1380.000 45.757
1390.000 44.675
1400.000 43.520
1410.000 41.164
1420.000 40.729
1430.000 41.500
1440.000 41.744
1450.000 42.584
1460.000 43.168
1470.000 42.838
1480.000 42.833
1490.000 43.559
1500.000 39.159
1510.000 38.600
1520.000 38.020
1530.000 36.881
1540.000 37.746
1550.000 35.554
1560.000 35.622
1570.000 36.266
1580.000 35.907
1590.000 34.601
1600.000 34.899
1610.000 34.786
1620.000 31.939
1630.000 32.556
1640.000 32.251
1650.000 32.602
1660.000 32.816
1670.000 31.600
1680.000 33.449
1690.000 33.111
1700.000 33.025
1710.000 33.713
1720.000 32.705
1730.000 32.210
1740.000 32.103
1750.000 32.121
1760.000 30.956
1770.000 30.851
1780.000 31.503
1790.000 30.397
1800.000 30.833
1810.000 30.079
1820.000 29.965
1830.000 29.153
1840.000 28.987
1850.000 29.580
1860.000 30.402
1870.000 30.610
1880.000 30.818
1890.000 30.676
1900.000 32.091
1910.000 30.074
1920.000 29.049
1930.000 29.245
1940.000 27.976
1950.000 27.908
1960.000 26.778
1970.000 27.646
1980.000 25.858
1990.000 24.604
2000.000 25.121
2010.000 24.574
2020.000 24.283
2030.000 24.998
2040.000 24.596
2050.000 25.111
2060.000 23.981
2070.000 23.400
2080.000 23.847
2090.000 23.566
2100.000 23.944
2110.000 23.282
2120.000 23.508
2130.000 23.298
2140.000 22.903
2150.000 21.395
2160.000 21.766
2170.000 21.569
2180.000 22.294
2190.000 22.062
2200.000 21.345
2210.000 21.217
2220.000 20.483
2230.000 19.718
2240.000 19.487
2250.000 19.702
2260.000 18.845
2270.000 20.184
2280.000 19.882
2290.000 19.304
2300.000 18.879
2310.000 17.376
2320.000 18.736
2330.000 16.897
2340.000 16.333
2350.000 16.267
2360.000 15.510
2370.000 15.391
2380.000 15.131
2390.000 15.508
2400.000 16.071
2410.000 15.121
2420.000 15.421
2430.000 15.115
2440.000 15.717
2450.000 14.964
2460.000 13.790
2470.000 14.110
2480.000 14.169
2490.000 14.166
2500.000 12.383
2510.000 12.368
2520.000 12.922
2530.000 13.118
2540.000 13.242
2550.000 13.911
2560.000 14.347
2570.000 14.255
2580.000 13.113
2590.000 13.586
2600.000 13.987
2610.000 14.026
2620.000 13.036
2630.000 12.837
2640.000 11.815
2650.000 11.266
2660.000 11.604
2670.000 11.075
2680.000 10.907
2690.000 11.801
2700.000 12.770
2710.000 12.212
2720.000 11.791
2730.000 12.725
2740.000 12.387
2750.000 11.227
2760.000 11.544
2770.000 11.257
2780.000 9.733
2790.000 10.246
2800.000 9.854
2810.000 10.742
2820.000 10.390
2830.000 8.648
2840.000 9.615
2850.000 9.326
2860.000 9.293
2870.000 8.327
2880.000 7.874
2890.000 6.606
2900.000 6.803
2910.000 6.944
2920.000 6.912
2930.000 5.844
2940.000 6.231
2950.000 6.322
2960.000 5.966
2970.000 5.099
2980.000 5.661
2990.000 6.473
3000.000 6.187
3010.000 5.972
3020.000 6.081
3030.000 7.297
3040.000 5.960
3050.000 7.084
3060.000 7.263
3070.000 6.935
3080.000 6.423
3090.000 5.708
3100.000 3.845
3110.000 4.648
3120.000 4.311
3130.000 2.832
3140.000 2.234
3150.000 2.837
3160.000 2.811
3170.000 2.552
3180.000 2.388
3190.000 1.437
3200.000 1.697
3210.000 1.306
3220.000 1.937
3230.000 2.649
3240.000 0.730
3250.000 0.690
3260.000 -0.509
3270.000 -0.478
3280.000 -0.318
3290.000 0.672
3300.000 0.091
3310.000 -0.188
3320.000 -0.718
3330.000 -0.889
3340.000 -0.648
3350.000 -1.117
3360.000 -2.612
3370.000 -2.452
3380.000 -3.341
3390.000 -3.327
3400.000 -3.421
3410.000 -3.597
3420.000 -3.341
3430.000 -3.818
3440.000 -3.005
3450.000 -3.866
3460.000 -3.263
3470.000 -3.623
3480.000 -2.744
3490.000 -4.193
3500.000 -4.694
3510.000 -4.298
3520.000 -3.588
3530.000 -3.612
3540.000 -3.646
3550.000 -3.798
3560.000 -3.990
3570.000 -4.866
3580.000 -4.299
3590.000 -5.793
3600.000 -6.083
3610.000 -7.137
3620.000 -8.013
3630.000 -7.527
3640.000 -7.415
3650.000 -7.141
3660.000 -6.785
3670.000 -7.321
3680.000 -8.368
3690.000 -8.601
3700.000 -8.712
3710.000 -8.898
3720.000 -8.791
3730.000 -9.093
3740.000 -10.145
3750.000 -10.457
3760.000 -10.065
3770.000 -9.809
3780.000 -10.355
3790.000 -10.802
3800.000 -10.598
3810.000 -9.838
3820.000 -9.360
3830.000 -9.730
3840.000 -10.790
3850.000 -10.488
3860.000 -10.376
3870.000 -10.785
3880.000 -11.973
3890.000 -10.825
3900.000 -9.703
3910.000 -10.299
3920.000 -10.830
3930.000 -11.757
3940.000 -11.804
3950.000 -12.309
3960.000 -12.705
3970.000 -13.036
3980.000 -11.817
3990.000 -11.393
4000.000 -9.707
4010.000 -9.897
4020.000 -11.907
4030.000 -11.503
4040.000 -12.487
4050.000 -11.653
4060.000 -12.778
4070.000 -12.642
4080.000 -12.310
4090.000 -11.674
4100.000 -12.081
4110.000 -11.555
4120.000 -11.617
4130.000 -13.870
4140.000 -13.477
4150.000 -14.991
4160.000 -15.318
4170.000 -15.111
4180.000 -15.423
4190.000 -15.678
4200.000 -16.304
4210.000 -16.514
4220.000 -15.615
4230.000 -15.766
4240.000 -17.304
4250.000 -17.368
4260.000 -18.428
4270.000 -18.721
4280.000 -18.270
4290.000 -17.300
4300.000 -17.438
4310.000 -18.640
4320.000 -18.461
4330.000 -18.781
4340.000 -18.440
4350.000 -18.490
4360.000 -19.053
4370.000 -17.375
4380.000 -18.767
4390.000 -17.688
4400.000 -18.470
4410.000 -18.826
4420.000 -20.287
4430.000 -20.944
4440.000 -22.265
4450.000 -21.933
4460.000 -21.713
4470.000 -22.168
4480.000 -22.710
4490.000 -22.583
4500.000 -21.927
4510.000 -23.309
4520.000 -22.516
4530.000 -22.123
4540.000 -21.921
4550.000 -23.500
4560.000 -22.939
4570.000 -22.599
4580.000 -24.070
4590.000 -24.605
4600.000 -23.855
4610.000 -24.462
4620.000 -23.834
4630.000 -24.979
4640.000 -25.718
4650.000 -25.813
4660.000 -25.285
4670.000 -25.088
4680.000 -25.799
4690.000 -25.718
4700.000 -26.137
4710.000 -26.557
4720.000 -26.961
4730.000 -27.915
4740.000 -27.068
4750.000 -26.100
4760.000 -25.725
4770.000 -26.955
4780.000 -26.762
4790.000 -26.635
4800.000 -26.771
4810.000 -27.349
4820.000 -27.787
4830.000 -28.602
4840.000 -28.735
4850.000 -28.158
4860.000 -27.928
4870.000 -28.646
4880.000 -27.035
4890.000 -28.447
4900.000 -28.458
4910.000 -28.373
4920.000 -28.476
4930.000 -27.572
4940.000 -28.431
4950.000 -28.433
4960.000 -28.893
4970.000 -29.033
4980.000 -29.232
4990.000 -29.640
5000.000 -29.744
5010.000 -28.707
5020.000 -30.733
5030.000 -30.220
5040.000 -31.060
5050.000 -31.638
5060.000 -31.993
5070.000 -31.920
5080.000 -31.555
5090.000 -31.158
5100.000 -31.483
5110.000 -31.491
5120.000 -32.508
5130.000 -30.895
5140.000 -30.718
5150.000 -31.081
5160.000 -31.516
5170.000 -31.545
5180.000 -30.889
5190.000 -31.178
5200.000 -31.127
5210.000 -30.858
5220.000 -31.811
5230.000 -32.268
5240.000 -32.490
5250.000 -30.703
5260.000 -30.572
5270.000 -30.833
5280.000 -31.109
5290.000 -30.316
5300.000 -29.624
5310.000 -30.627
5320.000 -29.152
5330.000 -29.114
5340.000 -30.622
5350.000 -30.450
5360.000 -30.687
5370.000 -31.598
5380.000 -32.745
5390.000 -30.471
5400.000 -31.858
5410.000 -32.733
5420.000 -32.998
5430.000 -33.192
5440.000 -32.982
5450.000 -33.488
5460.000 -34.115
5470.000 -34.873
5480.000 -33.937
5490.000 -34.882
5500.000 -36.388
5510.000 -36.027
5520.000 -36.523
5530.000 -37.417
5540.000 -36.815
5550.000 -36.909
5560.000 -36.850
5570.000 -36.639
5580.000 -36.227
5590.000 -37.496
5600.000 -37.952
5610.000 -38.200
5620.000 -38.143
5630.000 -38.597
5640.000 -38.511
5650.000 -36.999
5660.000 -38.072
5670.000 -38.633
5680.000 -38.522
5690.000 -37.939
5700.000 -38.401
5710.000 -38.800
5720.000 -39.316
5730.000 -38.117
5740.000 -39.166
5750.000 -39.408
5760.000 -39.776
5770.000 -39.621
5780.000 -38.323
5790.000 -38.941
5800.000 -39.124
5810.000 -40.595
5820.000 -39.708
5830.000 -40.529
5840.000 -40.263
5850.000 -40.989
5860.000 -39.892
5870.000 -39.759
5880.000 -39.590
5890.000 -40.034
5900.000 -40.609
5910.000 -40.751
5920.000 -41.229
5930.000 -41.159
5940.000 -42.624
5950.000 -41.435
5960.000 -40.925
5970.000 -42.133
5980.000 -42.857
5990.000 -42.593
6000.000 -42.173
6010.000 -41.448
6020.000 -42.135
6030.000 -42.705
6040.000 -42.615
6050.000 -42.780
6060.000 -42.639
6070.000 -42.894
6080.000 -42.234
6090.000 -43.105
6100.000 -43.321
6110.000 -43.557
6120.000 -43.447
6130.000 -43.703
6140.000 -43.749
6150.000 -43.862
6160.000 -42.841
6170.000 -43.632
6180.000 -43.494
6190.000 -43.777
6200.000 -43.233
6210.000 -41.956
6220.000 -42.295
6230.000 -41.299
6240.000 -40.943
6250.000 -40.885
6260.000 -42.960
6270.000 -42.840
6280.000 -43.410
6290.000 -42.787
6300.000 -42.261
6310.000 -42.956
6320.000 -43.618
6330.000 -43.162
6340.000 -44.631
6350.000 -44.065
6360.000 -43.800
6370.000 -43.688
6380.000 -42.969
6390.000 -43.175
6400.000 -43.438
6410.000 -43.572
6420.000 -43.853
6430.000 -43.874
6440.000 -44.884
6450.000 -45.647
6460.000 -45.581
6470.000 -45.731
6480.000 -45.182
6490.000 -45.156
6500.000 -44.835
6510.000 -45.119
6520.000 -45.035
6530.000 -45.214
6540.000 -44.900
6550.000 -43.964
6560.000 -43.742
6570.000 -44.868
6580.000 -45.032
6590.000 -45.442
6600.000 -44.729
6610.000 -45.852
6620.000 -45.599
6630.000 -45.032
6640.000 -44.845
6650.000 -44.784
6660.000 -45.467
6670.000 -44.691
6680.000 -44.768
6690.000 -45.525
6700.000 -44.545
6710.000 -44.001
6720.000 -44.112
6730.000 -43.608
6740.000 -44.678
6750.000 -44.576
6760.000 -44.544
6770.000 -44.368
6780.000 -45.260
6790.000 -45.420
6800.000 -46.386
6810.000 -46.066
6820.000 -44.724
6830.000 -45.092
6840.000 -44.695
6850.000 -43.940
6860.000 -43.532
6870.000 -43.838
6880.000 -42.969
6890.000 -44.199
6900.000 -44.682
6910.000 -44.755
6920.000 -45.292
6930.000 -45.197
6940.000 -44.667
6950.000 -45.280
6960.000 -45.300
6970.000 -46.336
6980.000 -45.584
6990.000 -46.410
7000.000 -46.645
7010.000 -46.358
7020.000 -47.334
7030.000 -46.468
7040.000 -46.685
7050.000 -46.302
7060.000 -46.661
7070.000 -46.894
7080.000 -47.437
7090.000 -47.526
7100.000 -47.094
7110.000 -45.864
7120.000 -47.161
7130.000 -46.236
7140.000 -46.429
7150.000 -46.728
7160.000 -44.971
7170.000 -44.211
7180.000 -43.691
7190.000 -45.182
7200.000 -44.500
7210.000 -43.838
7220.000 -43.846
7230.000 -44.172
7240.000 -44.381
7250.000 -45.018
7260.000 -45.464
7270.000 -45.111
7280.000 -46.163
7290.000 -44.392
7300.000 -45.017
7310.000 -45.863
7320.000 -45.875
7330.000 -46.664
7340.000 -46.452
7350.000 -46.204
7360.000 -46.360
7370.000 -46.005
7380.000 -48.206
7390.000 -48.245
7400.000 -47.652
7410.000 -48.285
7420.000 -47.993
7430.000 -47.421
7440.000 -46.767
7450.000 -47.027
7460.000 -46.543
7470.000 -46.973
7480.000 -47.074
7490.000 -47.291
7500.000 -47.475
7510.000 -47.306
7520.000 -47.280
7530.000 -47.485
7540.000 -48.039
7550.000 -48.454
7560.000 -49.135
7570.000 -49.199
7580.000 -49.204
7590.000 -48.074
7600.000 -47.045
7610.000 -48.718
7620.000 -49.259
7630.000 -48.488
7640.000 -48.489
7650.000 -48.383
7660.000 -47.587
7670.000 -47.539
7680.000 -49.407
7690.000 -48.653
7700.000 -49.332
