key height(A)
0.000 58.874
10.000 58.179
20.000 58.226
30.000 58.904
40.000 58.857
50.000 59.397
60.000 58.464
70.000 59.162
80.000 59.665
90.000 60.061
100.000 59.342
110.000 59.348
120.000 60.055
130.000 59.952
140.000 59.703
150.000 59.864
160.000 60.151
170.000 60.178
180.000 61.119
190.000 61.468
200.000 61.628
210.000 61.372
220.000 60.414
230.000 60.670
240.000 61.509
250.000 61.644
260.000 61.897
270.000 62.176
280.000 61.915
290.000 62.892
300.000 63.115
310.000 62.894
320.000 64.436
330.000 65.366
340.000 64.409
350.000 64.939
360.000 65.040
370.000 64.804
380.000 64.523
390.000 65.082
400.000 64.948
410.000 65.902
420.000 66.420
430.000 67.573
440.000 67.506
450.000 67.846
460.000 69.089
470.000 68.837
480.000 68.667
490.000 68.358
500.000 69.660
510.000 68.402
520.000 68.688
530.000 68.612
540.000 68.810
550.000 68.928
560.000 68.751
570.000 68.257
580.000 68.522
590.000 68.439
600.000 67.621
610.000 67.308
620.000 66.996
630.000 67.243
640.000 67.511
650.000 67.580
660.000 67.268
670.000 68.443
680.000 67.824
690.000 67.077
700.000 68.446
710.000 68.380
720.000 67.322
730.000 67.945
740.000 67.391
750.000 67.485
760.000 67.054
770.000 66.863
780.000 67.502
790.000 68.427
800.000 67.783
810.000 68.691
820.000 69.466
830.000 71.338
840.000 68.321
850.000 71.058
860.000 70.427
870.000 70.687
880.000 69.867
890.000 69.256
900.000 69.285
910.000 69.674
920.000 68.168
930.000 69.070
940.000 67.998
950.000 67.452
960.000 67.035
970.000 66.613
980.000 66.107
990.000 67.260
1000.000 65.085
1010.000 65.858
1020.000 65.002
1030.000 65.287
1040.000 65.931
1050.000 66.150
1060.000 65.792
1070.000 65.169
1080.000 63.711
1090.000 63.696
1100.000 64.000
1110.000 64.673
1120.000 64.578
1130.000 64.266
1140.000 64.578
1150.000 64.365
1160.000 65.948
1170.000 66.624
1180.000 66.053
1190.000 65.248
1200.000 64.396
1210.000 67.984
1220.000 66.328
1230.000 66.328
1240.000 66.893
1250.000 64.469
1260.000 63.556
1270.000 66.496
1280.000 65.827
1290.000 66.764
1300.000 67.098
1310.000 66.168
1320.000 65.019
1330.000 63.980
1340.000 63.465
1350.000 62.619
1360.000 62.707
1370.000 63.737
1380.000 62.330
1390.000 61.685
1400.000 59.723
1410.000 60.292
1420.000 57.708
1430.000 58.967
1440.000 59.164
1450.000 57.188
1460.000 55.567
1470.000 56.297
1480.000 55.881
1490.000 53.494
1500.000 55.156
1510.000 55.863
1520.000 55.982
1530.000 55.988
1540.000 56.837
1550.000 55.049
1560.000 56.413
1570.000 55.083
1580.000 54.488
1590.000 54.762
1600.000 55.163
1610.000 56.921
1620.000 53.506
1630.000 53.572
1640.000 51.781
1650.000 53.096
1660.000 51.287
1670.000 51.378
1680.000 50.596
1690.000 52.132
1700.000 50.899
1710.000 48.041
1720.000 48.898
