index,dose,Si_rm_in_MD,N_rm_in_MD,C_rm_in_MD,F_rm_in_MD,Si_rm_in_byp,N_rm_in_byp,C_rm_in_byp,F_rm_in_byp
1,0.0,0,6,0,0,0,12,0,0
2,0.0,0,0,0,0,0,4,0,0
3,0.0,0,0,1,0,0,4,0,0
4,0.0,0,1,0,0,0,6,0,0
5,0.001,0,2,0,1,0,2,0,0
6,0.001,0,0,0,0,0,2,0,0
7,0.001,0,0,0,0,0,8,0,0
8,0.001,0,3,0,0,0,10,0,0
9,0.001,0,0,0,0,0,4,0,0
10,0.001,0,6,1,0,0,2,0,0
11,0.001,0,2,0,0,0,0,0,0
12,0.001,0,0,0,1,0,4,0,0
13,0.001,0,2,0,0,0,0,0,0
14,0.002,0,0,0,0,0,0,0,0
15,0.002,0,2,0,0,0,4,0,0
16,0.002,3,14,0,0,0,8,0,0
17,0.002,0,1,0,0,0,0,0,0
18,0.002,0,0,0,0,0,0,0,0
19,0.002,0,0,0,0,0,4,0,0
20,0.002,0,0,0,0,0,6,0,0
21,0.002,0,1,0,0,0,0,0,0
22,0.002,0,2,0,0,0,4,0,0
23,0.003,0,2,0,0,0,4,0,0
24,0.003,0,1,0,0,0,2,0,0
25,0.003,0,0,0,0,0,0,0,0
26,0.003,0,2,0,1,0,0,0,0
27,0.003,0,0,0,0,0,4,0,0
28,0.003,0,0,1,0,0,0,0,0
29,0.003,2,4,0,1,0,2,0,0
30,0.003,0,0,0,0,0,0,0,0
31,0.003,0,3,1,2,0,0,0,0
32,0.004,0,0,0,0,0,0,0,0
33,0.004,0,0,0,0,0,6,0,0
34,0.004,0,0,0,0,0,0,0,0
35,0.004,0,6,0,0,0,0,0,0
36,0.004,0,0,0,0,0,0,0,0
37,0.004,0,0,0,1,0,2,0,0
38,0.004,0,1,0,0,0,0,0,0
39,0.004,0,0,0,1,0,0,0,0
40,0.004,1,0,0,0,0,2,0,0
41,0.005,0,0,0,0,0,4,0,0
42,0.005,0,3,1,0,0,2,0,0
43,0.005,0,0,0,1,1,2,0,0
44,0.005,0,0,0,0,0,2,0,0
45,0.005,1,6,0,1,1,9,0,0
46,0.005,0,4,0,0,1,2,0,1
47,0.005,0,4,0,2,0,0,0,0
48,0.005,0,1,0,1,0,0,0,0
49,0.005,1,2,0,0,0,4,0,0
50,0.006,0,0,0,0,0,0,0,0
51,0.006,0,0,0,0,0,0,0,0
52,0.006,0,0,0,1,0,6,0,0
53,0.006,1,2,0,1,0,2,0,0
54,0.006,0,0,0,0,0,0,0,0
55,0.006,0,0,0,0,0,0,0,0
56,0.006,0,0,0,0,0,0,0,0
57,0.006,0,0,0,0,0,2,0,0
58,0.006,0,3,0,0,0,10,0,0
59,0.007,0,0,0,0,0,4,0,0
60,0.007,1,1,0,1,0,8,0,0
61,0.007,1,3,2,2,0,2,0,0
62,0.007,0,0,0,0,0,0,0,0
63,0.007,0,2,0,0,0,0,0,0
64,0.007,1,1,0,0,0,2,0,0
65,0.007,0,0,0,0,0,0,0,0
66,0.007,0,0,0,0,0,0,0,0
67,0.007,0,0,0,1,1,2,0,4
68,0.008,0,0,0,0,0,4,0,0
69,0.008,0,0,0,0,0,6,0,0
70,0.008,0,0,0,0,0,0,0,0
71,0.008,0,0,0,0,0,0,0,0
72,0.008,0,4,1,0,0,6,0,0
73,0.008,0,0,0,0,0,6,0,0
74,0.008,0,0,0,0,0,10,0,0
75,0.008,0,0,0,0,0,0,0,0
76,0.008,1,0,0,0,0,0,0,0
77,0.009,0,1,0,0,0,0,0,0
78,0.009,0,0,0,0,0,2,0,0
79,0.009,1,0,0,2,0,0,0,0
80,0.009,0,3,0,0,0,0,0,0
81,0.009,1,1,0,1,0,0,0,0
82,0.009,1,2,1,0,0,0,0,0
83,0.009,0,0,0,0,0,2,0,0
84,0.009,2,0,0,0,1,4,0,1
85,0.009,0,0,0,0,0,10,0,0
86,0.01,1,2,0,0,1,3,0,1
87,0.01,0,0,0,0,0,4,0,0
88,0.01,0,2,0,1,1,4,0,2
89,0.01,0,0,0,0,0,0,0,0
90,0.01,1,0,0,0,0,4,0,0
91,0.01,1,0,0,1,0,2,0,0
92,0.01,0,0,0,0,0,4,0,0
93,0.01,0,3,1,1,2,0,0,2
94,0.01,1,2,0,0,0,2,0,0
95,0.011,0,0,1,0,1,0,0,2
96,0.011,1,9,0,1,0,0,0,0
97,0.011,0,0,1,0,2,0,0,2
98,0.011,1,2,0,1,2,0,0,5
99,0.011,1,2,0,0,0,4,0,0
100,0.011,2,3,0,1,0,2,0,0
101,0.011,5,0,1,3,4,4,1,5
102,0.011,1,1,0,1,0,3,1,0
103,0.011,1,3,0,3,1,4,2,2
104,0.012,0,2,0,0,0,1,1,0
105,0.012,0,0,0,0,0,2,0,0
106,0.012,3,3,0,1,0,1,1,0
107,0.012,0,0,0,0,1,2,0,4
108,0.012,0,0,0,0,0,0,0,0
109,0.012,0,0,0,0,1,6,0,4
110,0.012,1,0,0,3,0,4,0,0
111,0.012,0,1,0,1,1,9,0,0
112,0.012,0,0,0,0,0,6,0,0
113,0.013,0,1,0,1,0,0,0,0
114,0.013,0,2,1,0,0,2,0,0
115,0.013,3,2,1,4,1,2,0,1
116,0.013,0,0,0,0,0,4,0,0
117,0.013,0,2,0,0,1,4,0,1
118,0.013,1,0,0,2,0,0,0,0
119,0.013,0,2,0,1,0,2,0,0
120,0.013,1,3,0,1,0,6,0,0
121,0.013,1,1,0,0,1,0,0,4
122,0.014,0,3,1,0,4,7,1,3
123,0.014,0,0,0,0,2,0,0,4
124,0.014,0,0,0,0,0,0,0,0
125,0.014,0,0,0,0,0,0,0,0
126,0.014,3,3,0,8,4,1,0,4
127,0.014,5,2,0,1,0,0,0,0
128,0.014,2,1,1,3,0,0,0,0
129,0.014,1,1,0,3,1,2,0,2
130,0.014,0,1,0,1,2,4,0,6
131,0.015,2,1,0,0,0,3,0,0
132,0.015,1,2,0,1,2,2,0,3
133,0.015,0,0,0,0,0,0,0,0
134,0.015,0,0,0,0,0,2,0,0
135,0.015,0,2,0,0,0,6,0,0
136,0.015,1,3,0,0,0,0,0,0
137,0.015,0,0,0,0,0,2,0,0
138,0.015,0,2,1,0,0,2,0,1
139,0.015,0,0,0,0,0,0,0,0
140,0.016,0,0,0,0,0,6,0,0
141,0.016,1,0,0,1,1,1,0,2
142,0.016,0,0,0,0,0,2,0,0
143,0.016,0,2,1,1,1,2,0,2
144,0.016,0,0,0,0,0,0,0,0
145,0.016,1,1,1,1,5,5,1,7
146,0.016,1,3,0,1,0,0,0,0
147,0.016,0,0,0,0,0,0,0,0
148,0.016,0,0,1,0,1,2,0,1
149,0.017,1,2,0,2,1,2,0,2
150,0.017,1,0,0,1,1,4,0,4
151,0.017,0,0,0,0,0,0,0,0
152,0.017,0,1,1,2,0,0,0,0
153,0.017,0,0,0,0,0,4,0,0
154,0.017,0,2,1,2,1,0,0,1
155,0.017,0,1,0,0,0,0,0,0
156,0.017,1,6,1,3,0,2,0,0
157,0.017,2,3,1,3,0,0,0,0
158,0.018,1,0,0,1,0,2,0,0
159,0.018,1,0,0,1,0,4,0,0
160,0.018,1,3,0,1,0,4,0,1
161,0.018,1,0,0,1,1,5,1,1
162,0.018,1,3,3,0,0,2,0,0
163,0.018,0,0,0,0,0,0,0,0
164,0.018,0,1,0,1,3,4,0,6
165,0.018,0,2,1,0,0,0,0,0
166,0.018,0,0,0,0,0,0,0,0
167,0.019,0,0,0,0,0,0,0,0
168,0.019,0,0,0,0,0,0,0,0
169,0.019,0,0,0,1,0,4,0,0
170,0.019,0,3,2,3,1,0,0,2
171,0.019,0,0,0,1,0,0,0,1
172,0.019,1,6,1,1,2,1,1,3
173,0.019,0,2,0,2,2,3,1,3
174,0.019,0,2,0,0,2,0,0,3
175,0.019,0,0,0,0,0,0,0,0
176,0.02,0,1,0,1,5,6,0,4
177,0.02,0,0,0,0,0,6,0,0
